Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
The Fox and the Hound,"Animation, Adventure, Drama","12681          Mel Blanc
16450      Corey Feldman
25854       Kurt Russell
55793      Mickey Rooney
86082        Pat Buttram
89928       Keith Coogan
96588       Sandy Duncan
99387       John Fiedler
125312     John McIntire
131132    Jeanette Nolan
Name: Actor, dtype: object","['Ted Berman', 'Richard Rich', 'Art Stevens']","Daniel P. Mannix (based on the book by), Larry Clemmons (story), Ted Berman (story), David Michener (story), Peter Young (story), Burny Mattinson (story), Steve Hulett (story), Earl Kress (story), Vance Gerry (story)",English,"29,800,000",USA,10 Jul 1981,83 min,7.3,1 win & 2 nominations.,tt0082406.jpg
Fort Apache the Bronx,"Crime, Drama","2376           Paul Newman
17687            Pam Grier
29291         Danny Aiello
30193         Edward Asner
32375      Kathleen Beller
59827       Rachel Ticotin
88277     Dominic Chianese
102932        Paul Gleason
154367            Ken Wahl
Name: Actor, dtype: object",['Daniel Petrie'],"Heywood Gould, Thomas Mulhearn (suggested by the experiences of), Pete Tessitore (suggested by the experiences of)",English,"29,200,000",USA,06 Feb 1981,125 min,6.7,,tt0082402.jpg
Private Lessons,Comedy,"20139      Sylvia Kristel
32294       Ed Begley Jr.
108427    Howard Hesseman
Name: Actor, dtype: object",['Alan Myerson'],"Dan Greenburg (novel), Dan Greenburg (screenplay)",English,"26,279,000",USA,28 Aug 1981,87 min,5.1,1 nomination.,tt0082948.jpg
Halloween II,Horror,"5296      Jamie Lee Curtis
24107     Donald Pleasence
36002          Dana Carvey
105264         Lance Guest
155441       Billy Warlock
Name: Actor, dtype: object",['Rick Rosenthal'],"John Carpenter, Debra Hill",English,"25,500,000",USA,30 Oct 1981,92 min,6.5,3 nominations.,tt0082495.jpg
Escape from New York,"Action, Sci-Fi","4299        Adrienne Barbeau
4841          John Carpenter
5295        Jamie Lee Curtis
12838        Ernest Borgnine
24106       Donald Pleasence
25853           Kurt Russell
58647     Harry Dean Stanton
60496          Lee Van Cleef
69823            Isaac Hayes
95030             John Diehl
110643         Season Hubley
Name: Actor, dtype: object",['John Carpenter'],"John Carpenter, Nick Castle",English,"25,244,700","UK, USA",10 Jul 1981,99 min,7.2,4 nominations.,tt0082340.jpg
Friday the 13th Part 2,"Horror, Mystery, Thriller","133453    Betsy Palmer
Name: Actor, dtype: object",['Steve Miner'],"Ron Kurz, Victor Miller (characters)",English,"19,100,000",USA,01 May 1981,87 min,6.1,3 nominations.,tt0082418.jpg
Under the Rainbow,Comedy,"13822       Chevy Chase
16621     Carrie Fisher
29813         Eve Arden
31461       Billy Barty
78962        Adam Arkin
122155             Mako
145837      Felix Silla
Name: Actor, dtype: object",['Steve Rash'],"Fred Bauer (story), Pat Bradley (story), Pat McCormick (screenplay), Harry Hurwitz (screenplay), Martin Smith (screenplay), Pat Bradley (screenplay), Fred Bauer (screenplay)",English,"8,500,000",USA,31 Jul 1981,98 min,5.4,1 win & 4 nominations.,tt0083254.jpg
The Howling,Horror,"14141       Roger Corman
24038     Robert Picardo
35663     John Carradine
49457     Patrick Macnee
53281       Slim Pickens
66146     Kevin McCarthy
96431       Dennis Dugan
150535    Meshach Taylor
154686       Dee Wallace
Name: Actor, dtype: object",['Joe Dante'],"Gary Brandner (novel), John Sayles (screenplay), Terence H. Winkless (screenplay)","English, Spanish","17,986,000",USA,10 Apr 1981,91 min,6.6,2 wins & 2 nominations.,tt0082533.jpg
Take This Job and Shove It,Comedy,"29306        Eddie Albert
44442         Robert Hays
44813     Barbara Hershey
46820         David Keith
92946          Royal Dano
129561        Martin Mull
151208      Tim Thomerson
Name: Actor, dtype: object",['Gus Trikonis'],"Barry Schneider (screenplay), Jeffrey Bernini (story), Barry Schneider (story)",English,"17,569,030",USA,15 May 1981,100 min,4.9,,tt0083163.jpg
Dragonslayer,"Action, Adventure, Fantasy","49426    Peter MacNicol
50193     Ian McDiarmid
Name: Actor, dtype: object",['Matthew Robbins'],"Hal Barwood, Matthew Robbins",English,"6,000,000",USA,26 Jun 1981,109 min,6.7,Nominated for 2 Oscars. Another 5 nominations.,tt0082288.jpg
The Legend of the Lone Ranger,"Action, Adventure, Western","21045      Christopher Lloyd
55550          Jason Robards
64215     Richard Farnsworth
150411           Buck Taylor
Name: Actor, dtype: object",['William A. Fraker'],"Ivan Goff (screenplay), Ben Roberts (screenplay), Michael Kane (screenplay), William Roberts (screenplay), Gerald B. Derloshon (adaptation), George W. Trendle (characters), Fran Striker (characters)",English,"8,000,000","USA, UK",22 May 1981,98 min,5.0,4 wins & 4 nominations.,tt0082648.jpg
Thief,"Action, Crime, Drama","32571          Jim Belushi
35086           James Caan
40846        Dennis Farina
61407         Tuesday Weld
113942        John Kapelos
135185    William Petersen
136776       Robert Prosky
Name: Actor, dtype: object",['Michael Mann'],"Frank Hohimer (novel), Michael Mann (screen story), Michael Mann (screenplay)",English,"4,300,000",USA,27 Mar 1981,122 min,7.4,2 wins & 6 nominations.,tt0083190.jpg
Pennies from Heaven,"Drama, Musical, Romance","['Steve Martin', 'Bernadette Peters', 'Jessica Harper', 'Vernel Bagneris']",['Herbert Ross'],Dennis Potter (written for the screen: based on original material by),English,"3,600,000",USA,01 Jan 1982,108 min,6.5,Nominated for 3 Oscars. Another 3 wins & 6 nominations.,tt0082894.jpg
Buddy Buddy,Comedy,"20630           Jack Lemmon
21889        Walter Matthau
32293         Ed Begley Jr.
47296          Klaus Kinski
81124           Frances Bay
136584       Paula Prentiss
148660    Charlotte Stewart
Name: Actor, dtype: object",['Billy Wilder'],"Francis Veber (play), Francis Veber (story), Billy Wilder, I.A.L. Diamond",English,"5,000,000",USA,11 Dec 1981,96 min,6.6,2 nominations.,tt0082111.jpg
Sphinx,"Adventure, Mystery, Thriller","1058          John Gielgud
39565     Lesley-Anne Down
48031       Frank Langella
75217     Victoria Tennant
138765    John Rhys-Davies
Name: Actor, dtype: object",['Franklin J. Schaffner'],"John Byrum (screenplay), Robin Cook (novel)",English,"800,000","USA, Netherlands",11 Feb 1981,118 min,5.2,,tt0083113.jpg
Tootsie,"Comedy, Drama, Romance","5433             Geena Davis
6929          Dustin Hoffman
8362             Bill Murray
17114              Teri Garr
36719         Dabney Coleman
39928        Charles Durning
42569          Estelle Getty
47976          Jessica Lange
53665         Sydney Pollack
64005     Christine Ebersole
81544             Tobin Bell
102165         George Gaynes
113941          John Kapelos
151011         Lynne Thigpen
Name: Actor, dtype: object",['Sydney Pollack'],"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)",English,"177,200,000",USA,17 Dec 1982,116 min,7.4,Won 1 Oscar. Another 24 wins & 29 nominations.,tt0084805.jpg
An Officer and a Gentleman,"Drama, Romance","6350           Richard Gere
13518          David Caruso
28523          Debra Winger
32288         Ed Begley Jr.
42911     Louis Gossett Jr.
46818           David Keith
64101        Lisa Eilbacher
71598         Robert Loggia
83110           Lisa Blount
100775        Victor French
136022           Tony Plana
161118      Grace Zabriskie
Name: Actor, dtype: object",['Taylor Hackford'],Douglas Day Stewart,"English, Filipino","129,795,554",USA,13 Aug 1982,124 min,7.0,Won 2 Oscars. Another 7 wins & 13 nominations.,tt0084434.jpg
Rocky III,"Drama, Sport","9957      Sylvester Stallone
45001             Hulk Hogan
51412                  Mr. T
57702            Talia Shire
61312          Carl Weathers
126508      Burgess Meredith
148010        Frank Stallone
160711            Burt Young
Name: Actor, dtype: object",['Sylvester Stallone'],Sylvester Stallone,English,"122,823,200",USA,28 May 1982,99 min,6.7,Nominated for 1 Oscar. Another 2 wins & 7 nominations.,tt0084602.jpg
Star Trek II: The Wrath of Khan,"Action, Adventure, Drama","11178         Kirstie Alley
20023         Walter Koenig
23209         Leonard Nimoy
26244       William Shatner
46875       DeForest Kelley
51000     Ricardo Montalban
59501          George Takei
86077       Merritt Butrick
97338         Ike Eisenmann
130864     Nichelle Nichols
159051        Paul Winfield
Name: Actor, dtype: object",['Nicholas Meyer'],"Gene Roddenberry (television series Star Trek), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)",English,"78,900,000",USA,04 Jun 1982,113 min,7.7,2 wins & 9 nominations.,tt0084726.jpg
48 Hrs.,"Action, Comedy, Crime","14256           Denise Crosby
22889            Eddie Murphy
23289              Nick Nolte
46299             Brion James
51917         Annette O'Toole
55296             James Remar
80555          Jonathan Banks
114400    David Patrick Kelly
117129          Sonny Landham
123562           Sandy Martin
129528           Chris Mulkey
146497            Clint Smith
Name: Actor, dtype: object",['Walter Hill'],"Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza",English,"75,900,000",USA,08 Dec 1982,96 min,6.9,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,tt0083511.jpg
Poltergeist,"Fantasy, Horror","39816      Dominique Dunne
51851     Heather O'Rourke
61879      JoBeth Williams
72844      Craig T. Nelson
83007         Dirk Blocker
117128       Sonny Landham
Name: Actor, dtype: object",['Tobe Hooper'],"Steven Spielberg (screenplay), Michael Grais (screenplay), Mark Victor (screenplay), Steven Spielberg (story)",English,"76,600,000",USA,04 Jun 1982,114 min,7.4,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,tt0084516.jpg
The Best Little Whorehouse in Texas,"Comedy, Musical","23632        Dolly Parton
25053       Burt Reynolds
32153      Noah Beery Jr.
38764         Dom DeLuise
39929     Charles Durning
90437        Barry Corbin
111445      Gregory Itzin
113292       Mickey Jones
130590     Lois Nettleton
Name: Actor, dtype: object",['Colin Higgins'],"Larry L. King (play), Peter Masterson (play), Larry L. King (screenplay), Peter Masterson (screenplay), Colin Higgins (screenplay)",English,"69,700,000",USA,23 Jul 1982,114 min,5.8,Nominated for 1 Oscar. Another 2 nominations.,tt0083642.jpg
Annie,"Comedy, Drama, Family","14355             Tim Curry
23990       Amanda Peterson
34749         Carol Burnett
41080         Albert Finney
44759       Edward Herrmann
45853           John Huston
53073     Bernadette Peters
56196     Meredith Salenger
106554         Larry Hankin
109575      Geoffrey Holder
113143          Janet Jones
137256         Aileen Quinn
138292         Ann Reinking
146747        Shawnee Smith
Name: Actor, dtype: object",['John Huston'],"Carol Sobieski (screenplay), Thomas Meehan (book)",English,"57,100,000",USA,18 Jun 1982,127 min,6.5,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,tt0083564.jpg
The Verdict,Drama,"2023             James Mason
2374             Paul Newman
10772           Bruce Willis
37616         Lindsay Crouse
54520     Charlotte Rampling
81546             Tobin Bell
107342          Roxanne Hart
155387           Jack Warden
Name: Actor, dtype: object",['Sidney Lumet'],"Barry Reed (based upon the novel by), David Mamet (screenplay)",English,"54,000,000",USA,17 Dec 1982,129 min,7.8,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,tt0084855.jpg
The Toy,Comedy,"32076             Ned Beatty
42662         Jackie Gleason
54098          Richard Pryor
101541         Teresa Ganzel
110948    Wilfrid Hyde-White
Name: Actor, dtype: object",['Richard Donner'],"Carol Sobieski (screenplay), Francis Veber (film)","English, German","50,400,000",USA,10 Dec 1982,102 min,5.7,1 win.,tt0084809.jpg
Firefox,"Action, Adventure, Thriller","5796        Clint Eastwood
54741    John Ratzenberger
88873        Warren Clarke
Name: Actor, dtype: object",['Clint Eastwood'],"Alex Lasker (screenplay), Wendell Wellman (screenplay), Craig Thomas (novel)","English, Russian","46,700,000",USA,18 Jun 1982,136 min,5.9,,tt0083943.jpg
Conan the Barbarian,"Adventure, Fantasy","9365      Arnold Schwarzenegger
19553          James Earl Jones
32830           Sandahl Bergman
62627             Max von Sydow
102651              Donald Gibb
122153                     Mako
146820            William Smith
151454         Sven-Ole Thorsen
Name: Actor, dtype: object",['John Milius'],"Robert E. Howard (based on the character created by), John Milius, Oliver Stone",English,"37,567,440",USA,14 May 1982,129 min,6.9,Won 1 Golden Globe. Another 1 win & 9 nominations.,tt0082198.jpg
The Sword and the Sorcerer,"Action, Adventure, Fantasy","32374         Kathleen Beller
110005            Lee Horsley
121505    Simon MacCorkindale
127899           Richard Moll
Name: Actor, dtype: object",['Albert Pyun'],"Tom Karnowski (screenplay), John V. Stuckmeyer (screenplay), Albert Pyun (screenplay)",English,"39,103,500",USA,30 Apr 1982,99 min,5.7,1 win & 5 nominations.,tt0084749.jpg
Richard Pryor: Live on the Sunset Strip,"Documentary, Comedy",['Richard Pryor'],['Joe Layton'],Richard Pryor,English,"34,688,873",USA,12 Mar 1982,82 min,7.7,,tt0084597.jpg
Friday the 13th Part III,"Horror, Thriller","['Terry Ballard', 'Richard Brooker', 'Gloria Charles', 'Anne Gaybis']",['Steve Miner'],"Martin Kitrosser (screenplay), Carol Watson (screenplay), Victor Miller (character creator), Ron Kurz (character creator)",English,"36,200,000",USA,13 Aug 1982,95 min,5.7,2 nominations.,tt0083972.jpg
TRON,"Action, Adventure, Sci-Fi","12939     Bruce Boxleitner
13015         Jeff Bridges
39609     Michael Dudikoff
61175         David Warner
128437        Cindy Morgan
Name: Actor, dtype: object",['Steven Lisberger'],"Steven Lisberger (screenplay), Steven Lisberger (story), Bonnie MacBird (story)",English,"33,000,000",USA,09 Jul 1982,96 min,6.8,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,tt0084827.jpg
Victor Victoria,"Comedy, Music, Musical","11239         Julie Andrews
28309     Lesley Ann Warren
42329          James Garner
138763     John Rhys-Davies
Name: Actor, dtype: object",['Blake Edwards'],"Blake Edwards (screenplay), Hans Hoemburg (concept), Reinhold Schünzel","English, French","21,933,614","UK, USA",02 Apr 1982,132 min,7.6,Won 1 Oscar. Another 10 wins & 15 nominations.,tt0084865.jpg
Blade Runner,"Sci-Fi, Thriller","6129           Harrison Ford
18013           Daryl Hannah
18285           Rutger Hauer
28832             Sean Young
36086         Joanna Cassidy
46298            Brion James
51954     Edward James Olmos
60972         M. Emmet Walsh
109832            James Hong
142825     William Sanderson
184777     Dawna Lee Heising
Name: Actor, dtype: object",['Ridley Scott'],"Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)","English, German, Cantonese, Japanese, Hungarian","27,000,000","USA, Hong Kong, UK",25 Jun 1982,117 min,8.2,Nominated for 2 Oscars. Another 10 wins & 16 nominations.,tt0083658.jpg
Some Kind of Hero,"Comedy, Crime, Drama","37277         Ronny Cox
54099     Richard Pryor
106518       Anne Haney
115157    Margot Kidder
151206    Tim Thomerson
Name: Actor, dtype: object",['Michael Pressman'],"Robert Boris, James Kirkwood Jr. (novel), James Kirkwood Jr. (screenplay)",English,"20,400,486",USA,02 Apr 1982,97 min,5.6,,tt0083107.jpg
Night Shift,Comedy,"5152           Kevin Costner
7031              Ron Howard
19832         Michael Keaton
39382        Shannen Doherty
49056           Shelley Long
56722     Vincent Schiavelli
62056          Henry Winkler
62701         Richard Belzer
110286         Cheryl Howard
110388          Clint Howard
147732           Joe Spinell
150099           Nita Talbot
Name: Actor, dtype: object",['Ron Howard'],"Lowell Ganz, Babaloo Mandel",English,"23,600,000",USA,30 Jul 1982,106 min,6.5,Nominated for 1 Golden Globe. Another 1 win.,tt0084412.jpg
Deathtrap,"Comedy, Crime, Mystery","13430         Michael Caine
35303           Dyan Cannon
55076     Christopher Reeve
121041          Jenny Lumet
Name: Actor, dtype: object",['Sidney Lumet'],"Ira Levin (play), Jay Presson Allen (screenplay)",English,"17,385,291",USA,19 Mar 1982,116 min,7.0,6 nominations.,tt0083806.jpg
